iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
197 511.8 512.5999999999999 3.20272 0.77323 4.12817 1.68373 0.0030544699999999997 0.0027049825
198 514.3 515.0999999999999 3.20182 0.77256 4.12942 1.68538 0.0030505675000000003 0.00269727
199 516.9 517.6999999999999 3.20093 0.77189 4.13067 1.68696 0.0030449275 0.002691835
200 519.5 520.1999999999999 3.20005 0.77123 4.13189 1.68857 0.0030383650000000003 0.002688335
201 522.0 522.5999999999999 3.19917 0.77056 4.13309 1.69012 0.00303234 0.0026849225
202 524.5 525.1999999999999 3.19831 0.7699 4.13429 1.69169 0.003028385 0.0026783
203 527.0 527.5999999999999 3.19746 0.76925 4.13548 1.69321 0.00302775 0.0026718525
204 529.5 530.0999999999999 3.19662 0.76859 4.13666 1.69475 0.0030309125 0.00267064
205 532.0 532.8 3.19578 0.76794 4.13784 1.69622 0.0030375575 0.0026645675
206 534.5 535.3 3.19496 0.76729 4.13899 1.69773 0.0030466675 0.0026578300000000003
207 537.0 537.5999999999999 3.19414 0.76664 4.14016 1.69917 0.00305701 0.0026527150000000004
208 539.3 540.0 3.19332 0.766 4.14131 1.70065 0.0030674375 0.0026499975
209 541.6999999999999 542.4 3.19251 0.76535 4.14246 1.70206 0.0030771774999999997 0.0026467425000000003
210 544.0999999999999 544.6999999999999 3.19169 0.76471 4.1436 1.7035 0.0030858275000000004 0.00264375
211 546.5999999999999 547.0999999999999 3.19088 0.76407 4.14472 1.70488 0.003093345 0.0026376750000000003
212 549.0 549.5 3.19007 0.76343 4.14582 1.70628 0.00309963 0.002633955
213 551.4 551.9 3.18925 0.76279 4.1469 1.70763 0.003104005 0.0026329775
214 553.8 554.3 3.18844 0.76215 4.14796 1.709 0.0031050874999999996 0.0026312875
215 556.1999999999999 556.6999999999999 3.18763 0.76152 4.14901 1.71031 0.0031021175 0.0026293600000000003
216 558.5999999999999 559.0 3.18682 0.76088 4.15003 1.71165 0.0030961075 0.0026288375
217 561.0 561.4 3.18602 0.76024 4.15104 1.71293 0.0030892775000000003 0.0026307874999999996
218 563.4 563.8 3.18523 0.75961 4.15203 1.71423 0.0030836199999999996 0.0026285475
219 565.8 566.0999999999999 3.18445 0.75897 4.15302 1.71549 0.0030808375 0.00262702
220 568.1999999999999 568.5 3.18369 0.75834 4.15402 1.71678 0.0030820625 0.0026287150000000002
221 570.5999999999999 570.9 3.18294 0.7577 4.15502 1.71802 0.0030863225 0.0026300050000000004
222 573.0 573.3 3.18221 0.75706 4.156 1.71928 0.003088425 0.0026301174999999997
223 575.4 575.6999999999999 3.18151 0.75642 4.15695 1.72048 0.003081935 0.002629415
224 577.6999999999999 578.0999999999999 3.18083 0.75578 4.15789 1.72171 0.003066245 0.0026292525
225 580.0999999999999 580.5 3.18018 0.75514 4.1588 1.72289 0.003046755 0.0026293725
226 582.5 582.9 3.17955 0.7545 4.15975 1.72408 0.00281202 0.002628605
227 585.0 585.4 3.17892 0.75386 4.16065 1.72522 0.0028626 0.002626425
228 587.5 587.8 3.17829 0.75321 4.16165 1.72639 0.0028881575000000003 0.002623495
229 589.9 590.1999999999999 3.17765 0.75257 4.16263 1.7275 0.002931215 0.0026203425
230 592.3 592.5999999999999 3.17702 0.75192 4.16358 1.72863 0.0028979175 0.00261663
231 594.6999999999999 595.0999999999999 3.17639 0.75127 4.16449 1.72971 0.0028770425 0.0026117
232 597.0999999999999 597.4 3.17575 0.75061 4.16539 1.73081 0.00288186 0.0026055825
233 599.5999999999999 599.8 3.17512 0.74996 4.16628 1.73186 0.0029033175 0.002598805
234 602.0 602.1999999999999 3.17449 0.7493 4.16716 1.73293 0.0029012475 0.0025916525
235 604.4 604.5999999999999 3.17386 0.74865 4.16802 1.73395 0.0028743325 0.0025838425
236 606.8 607.0 3.17322 0.74799 4.16885 1.73499 0.0028578475 0.00257515
237 609.1999999999999 609.4 3.17259 0.74732 4.16966 1.73597 0.0028589775 0.0025658025
238 611.8 611.8 3.17195 0.74666 4.17046 1.73698 0.00286375 0.0025561725000000004
239 614.1999999999999 614.0999999999999 3.17131 0.746 4.17125 1.73793 0.002850465 0.002546325
240 616.5999999999999 616.5999999999999 3.17068 0.74533 4.17202 1.7389 0.0028296000000000003 0.002536825
241 619.0 618.9 3.17004 0.74466 4.17276 1.73982 0.00281854 0.0025261475
242 621.3 621.3 3.1694 0.74399 4.17348 1.74077 0.002817215 0.0025155675
243 623.6999999999999 623.8 3.16875 0.74332 4.17419 1.74165 0.0028124925 0.00250574
244 626.1999999999999 626.1999999999999 3.16811 0.74265 4.17488 1.74257 0.00279623 0.0024965625
245 628.5 628.5 3.16747 0.74198 4.17554 1.74343 0.00277914 0.00248732
246 630.9 630.9 3.16682 0.74131 4.17618 1.74431 0.0027695475 0.0024780375
247 633.3 633.3 3.16618 0.74064 4.17682 1.74514 0.002764265 0.0024693725
248 635.6999999999999 635.6999999999999 3.16553 0.73996 4.17742 1.74599 0.0027542300000000003 0.00246169
249 638.0999999999999 638.0999999999999 3.16488 0.73929 4.17802 1.74679 0.00273871 0.002454625
250 640.5 640.5 3.16423 0.73861 4.1786 1.74762 0.0027253375 0.0024478300000000002
251 642.9 642.9 3.16358 0.73794 4.17916 1.74839 0.0027172274999999997 0.0024415875
252 645.3 645.1999999999999 3.16293 0.73726 4.17971 1.74918 0.0027103 0.0024401625
253 647.5999999999999 647.5999999999999 3.16228 0.73659 4.18024 1.74992 0.002699585 0.0024323500000000002
254 650.0 650.0 3.16162 0.73591 4.18074 1.75068 0.002687035 0.002425245
