iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
114 2373 179.81012 5.19424 0.02095961 2547.6 4.08945 5.16655 0.0246911225 2318.2 6.70037 5.20901 0.04292747 2742.6 5.04511 5.21376 0.0525159775
115 2390.6 179.80539 5.19268 0.020848230000000002 2567.2 4.08592 5.16503 0.024554125 2335.9 6.69961 5.2083 0.04275095 2763.8 5.04456 5.21331 0.052346485
116 2407.6 179.80065 5.19112 0.0207378575 2586 4.0824 5.16351 0.0244184325 2353.3 6.69885 5.20758 0.042577159999999996 2784.2 5.04401 5.21286 0.052180082499999995
117 2425.3 179.79593 5.18958 0.02062849 2605.2 4.0789 5.16201 0.024284055 2370.9 6.69809 5.20686 0.042406087499999995 2805.2 5.04346 5.21241 0.05201668
118 2442.4 179.79122 5.18805 0.020520127500000002 2624.4 4.07541 5.16049 0.024150985 2388.6 6.69734 5.20614 0.042237755 2825.8 5.0429 5.21195 0.05185634
119 2460 179.78653 5.18654 0.02041276 2643.4 4.07193 5.15898 0.02401922 2406.1 6.69658 5.2054 0.042072215 2847 5.04235 5.2115 0.05169914
120 2477.4 179.78184 5.18505 0.0203063825 2663 4.06845 5.15747 0.023888755 2424 6.69583 5.20468 0.041909552499999995 2867.6 5.0418 5.21104 0.0515450375
121 2494.8 179.77717 5.18358 0.020200984999999998 2682 4.065 5.15597 0.023759585 2441.5 6.69507 5.20395 0.041749852500000004 2888.4 5.04125 5.21058 0.051393825
122 2512 179.77251 5.18213 0.0200965525 2701.6 4.06157 5.15447 0.0236317 2458.9 6.69432 5.20322 0.041593215 2909 5.04071 5.21013 0.0512451275
123 2529.2 179.76787 5.18069 0.019993075000000003 2720.6 4.05814 5.15298 0.023505095 2476.8 6.69357 5.20249 0.0414397375 2930.2 5.04016 5.20967 0.051098435000000005
124 2546.2 179.76323 5.17927 0.0198905375 2740 4.05472 5.15148 0.02337976 2494.1 6.69281 5.20175 0.041289522499999995 2950.4 5.0396 5.20921 0.050953185
125 2563.4 179.75862 5.17788 0.0197889225 2759.2 4.05133 5.14998 0.0232556825 2511.7 6.69206 5.20101 0.04114267 2971.2 5.03905 5.20874 0.05080881
126 2580.4 179.75401 5.17649 0.01968821 2778 4.04794 5.1485 0.0231328525 2529.3 6.69131 5.20028 0.040999270000000004 2991.6 5.0385 5.20828 0.0506648075
127 2597.7 179.74942 5.17512 0.019588385 2797.8 4.04457 5.14702 0.0230112575 2546.8 6.69056 5.19954 0.0408594225 3012.4 5.03795 5.20781 0.0505207775
128 2615.2 179.74484 5.17376 0.01948942 2816.8 4.0412 5.14554 0.0228908825 2564.6 6.68981 5.1988 0.0407232125 3033.9 5.0374 5.20734 0.050376462500000004
129 2632 179.74027 5.17243 0.0193913025 2836.2 4.03786 5.14407 0.0227717175 2582.2 6.68905 5.19807 0.040590735 3055.2 5.03684 5.20688 0.050231769999999995
130 2649.4 179.73572 5.17111 0.0192940025 2855.2 4.03452 5.14261 0.0226537425 2599.7 6.6883 5.19733 0.0404620775 3076 5.03629 5.20641 0.0500867725
131 2666.4 179.73118 5.16979 0.019197505 2874.2 4.03121 5.14114 0.0225369475 2617.6 6.68755 5.19658 0.040337335 3096.4 5.03573 5.20594 0.0499417
132 2683.2 179.72665 5.16849 0.019101782499999997 2894 4.0279 5.13968 0.0224213125 2635 6.6868 5.19585 0.040216587500000005 3117.4 5.03519 5.20547 0.049796892499999995
133 2700.8 179.72213 5.16719 0.01900682 2912.6 4.02461 5.13821 0.022306825 2652.7 6.68605 5.1951 0.040099905 3137.6 5.03463 5.20499 0.0496527625
134 2717.6 179.71764 5.1659 0.0189125925 2932 4.02133 5.13675 0.0221934675 2670.3 6.68529 5.19436 0.039987337500000004 3158.6 5.03408 5.20452 0.049509727499999996
135 2735.2 179.71315 5.16461 0.01881908 2951 4.01807 5.13528 0.0220812225 2687.8 6.68455 5.19362 0.0398789 3178.8 5.03353 5.20405 0.0493681275
136 2752 179.70868 5.16331 0.018726265000000002 2969.8 4.01482 5.13382 0.0219700725 2705.6 6.6838 5.19287 0.0397745575 3199.8 5.03298 5.20357 0.0492282075
137 2769.4 179.70423 5.16202 0.01863413 2989.4 4.01158 5.13236 0.021860005000000002 2723.4 6.68304 5.19213 0.039674219999999996 3220.2 5.03242 5.20309 0.049090065
138 2786.4 179.69978 5.16074 0.018542662499999998 3008.6 4.00836 5.1309 0.021751002499999998 2740.9 6.68229 5.19138 0.0395777275 3241 5.03186 5.20261 0.048953655
139 2803.4 179.69535 5.15946 0.018451844999999998 3028.2 4.00515 5.12944 0.02164305 2758.8 6.68154 5.19064 0.039484837499999995 3261.4 5.03131 5.20213 0.0488188325
