iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
59 1292.3 501.33384 454.08113 0.870222175 1501.2 433.19294 433.11438 1.120341525 1301.8 435.75287000000003 435.75285 1.149972385 1464.2 403.99458 437.58655999999996 1.166862185 1463.4 435.68948 435.73009 1.1292074024999998 1523.4 435.75211 435.75212 1.1490237525
60 1309.0 489.87554 441.73645 0.8900179375 1522.3 420.5299 420.45074999999997 1.141366915 1319.5 423.01302999999996 423.01302 1.1433469799999998 1487.6 390.63685 424.69169999999997 1.1356425025 1485.2 422.94803 422.98931 1.121862915 1544.6 423.01266 423.01266999999996 1.1412011924999999
61 1326.1 478.73399 429.69449 0.9023027225000001 1543.6 408.1859 408.10575 1.1455501074999999 1335.8 410.92688 410.92687 1.0662564200000002 1506.8 378.14242 412.65747 0.88681651 1504.4 410.85923 410.89950999999996 1.04408756 1565.0 410.92806 410.92808 1.0686184275000001
62 1345.5 467.84535 417.88023 0.892668405 1566.2 396.06868 395.98788 1.14170561 1353.3 399.34755 399.34754 1.0558095625000001 1527.0 366.29384 401.27372 0.8818144675000001 1523.6 399.28198999999995 399.31956 1.049025745 1586.8 399.35123999999996 399.35125 1.058072455
63 1363.6 457.46039 406.58828 0.7940676550000001 1586.2 384.59227 384.51212 1.04581708 1369.6 388.65012 388.6501 0.974153815 1546.2 355.42709 390.85925999999995 0.88125996 1543.2 388.35328000000004 388.39073 1.0627273425000001 1607.0 388.65321 388.65323 0.9751141025
64 1383.3000000000002 447.50092000000006 395.72803999999996 0.772903645 1608.4 373.58700999999996 373.50681 1.03555305 1385.6999999999998 378.58281999999997 378.5828 0.965567675 1566.2 345.26507000000004 381.14021 0.8873099475 1564.0 377.92034 377.95788000000005 1.0491291475 1627.6999999999998 378.5875 378.5875 0.9680437749999999
65 1401.7 438.22482 385.61161000000004 0.6976056025 1628.6 363.46531000000004 363.38648 0.941231635 1402.2 369.225 369.22498 0.9726554424999999 1585.6 335.74028 372.05086 0.891819875 1584.1999999999998 368.16631 368.20357 0.9374098125 1647.8 369.22991 369.22992 0.9729277975
66 1419.5 429.49374 376.07799 0.692782635 1648.5 353.96331 353.88563 0.9324807800000001 1418.3000000000002 360.42656 360.42655 0.9776196975 1605.6 326.77968999999996 363.50722 0.9027691749999999 1604.1 358.93594 358.97269 0.9455747699999999 1668.4 360.42967999999996 360.4297 0.9801413975000001
67 1437.5 421.33371 367.178 0.6891866050000001 1667.5 345.17228 345.09520999999995 0.9437194274999999 1434.9 352.13052 352.13051 0.9752364675 1625.0 318.32291999999995 355.45259999999996 0.9011225525 1624.7 350.37147000000004 350.40824 0.9484963249999999 1689.0 352.13514 352.13515 0.9767579874999999
68 1455.8 413.66841 358.81864 0.6864839925 1686.4 336.93657 336.85979 0.9474609049999999 1451.5 344.26158 344.26157 0.9845408 1645.0 310.29604 347.80458999999996 0.9147092450000001 1644.9 342.28969 342.32662 0.9514341025 1709.8 344.26533 344.26535 0.9864009175
69 1475.1 406.45895 350.95713 0.684465415 1705.6 329.18976 329.1132 0.9465327275 1468.0 336.80176 336.80176 0.9829027674999999 1664.2 302.65932 340.53315999999995 0.9118780775 1665.8000000000002 334.65093 334.68806 0.9516544175 1730.8000000000002 336.80589 336.80591000000004 0.9843099525
70 1494.1 399.66735 343.54677 0.6829107074999999 1724.1 321.86 321.78359 0.958060345 1484.8 329.66552 329.6655 0.9920319375000001 1684.2 295.34188 333.56422 0.9257325049999999 1686.0 327.38307 327.42043 0.9613890475000001 1752.3000000000002 329.67023 329.67024 0.9934031325
71 1512.9 393.25684 336.54785000000004 0.6817123850000001 1742.6999999999998 314.92899 314.85275 0.954199265 1501.1 322.84131 322.84129 0.9957918325 1703.6 288.31775 326.8804 0.9211876474999999 1706.5 320.4661 320.5037 0.9639143575000001 1772.6 322.84529 322.84531 0.9974150199999999
